		(millions of yen)
	As of March 31,	As of March 31,
	2021	2022
LIABILITIES)		
olicy reserves and others	30,844,443	30,131,727
Reserves for outstanding claims	148,070	184,665
Policy reserves	30,295,374	29,533,839
Reserve for policyholder dividends	400,999	413,222
einsurance payable	1,048	170,407
ubordinated bonds	476,277	368,715
ther liabilities	3,340,249	4,371,360
Payables under repurchase agreements	2,301,762	2,954,780
Long-term debt and other borrowings	390,600	470,600
Corporate income tax payable	32,372	47,378
Accounts payable	32,212	120,641
Accrued expenses	44,736	46,306
Unearned revenue	391	361
Deposits received	62,025	63,338
Guarantee deposits received	52,554	49,894
Differential account for futures trading	-	107
Derivatives	356,963	578,140
Collateral for financial instruments	41,339	31,190
Lease liabilities	5,179	4,330
Asset retirement obligations	2,009	2,067
Suspense receipt	1,180	1,176
Other liabilities	16,921	1,046
eserve for employees' retirement benefits	400,138	398,321
eserve for retirement benefits of directors, executive officers and corporate auditors	998	929
eserve for possible reimbursement of prescribed claims	800	800
eserve for price fluctuations	233,453	250,453
eferred tax liabilities	312,227	115,454
eferred tax liabilities for land revaluation	71,606	70,652
cceptances and guarantees	52,861	45,745
otal liabilities	35,734,105	35,924,567
NET ASSETS)		
apital stock	60,000	60,000
apital surplus	370,000	320,000
Legal capital surplus	60,000	60,000
Other capital surplus	310,000	260,000
etained earnings	249,195	251,559
Other retained earnings	249,195	251,559
Reserve for tax basis adjustments of real estate	8,355	7,870
Reserve for specified business investment	49	49
Retained earnings brought forward	240,789	243,639
otal shareholders' equity	679,195	631,560
et unrealized gains (losses) on securities, net of tax	2,536,608	2,130,413
eferred hedge gains (losses)	-3,501	-21,621
eserve for land revaluation	-22,026	16,643
otal of valuation and translation adjustments	2,511,080	2,125,435
otal net assets	3,190,276	2,756,996
otal liabilities and net assets	38,924,381	38,681,563
	As of March 31,	As of March 31,
	2021	2022
(ASSETS)		
Cash and deposits	380,173	441,997
Cash	0	0
Bank deposits	380,172	441,997
Call loans	403,700	479,900
Monetary claims bought	252,140	239,896
Money held in trust	7,716	12,164
Securities	33,467,036	32,740,845
Government bonds	14,774,895	15,553,967
Local government bonds	108,035	106,309
