Type	Path	Name	Last Modified	Created	Size (bytes)
Folder	C:\Users\tatsu\Documents\AutoHotkey	AutoHotkey	2024-08-29 13:56:25	2024-08-29 13:56:24	-
File	C:\Users\tatsu\Documents\AutoHotkey\ahktest.ahk	ahktest.ahk	2024-04-17 16:54:22	2024-08-29 13:56:25	348
File	C:\Users\tatsu\Documents\AutoHotkey\click_by_key.ahk	click_by_key.ahk	2024-05-13 02:38:11	2024-08-29 13:56:25	2762
File	C:\Users\tatsu\Documents\AutoHotkey\for_v1.ahk	for_v1.ahk	2024-04-17 02:21:25	2024-08-29 13:56:25	726
File	C:\Users\tatsu\Documents\AutoHotkey\move_fast.ahk	move_fast.ahk	2024-04-17 17:05:24	2024-08-29 13:56:25	1194
File	C:\Users\tatsu\Documents\AutoHotkey\only_excel.ahk	only_excel.ahk	2024-04-18 18:48:56	2024-08-29 13:56:25	699
File	C:\Users\tatsu\Documents\AutoHotkey\testps.ps1	testps.ps1	2024-04-17 02:19:04	2024-08-29 13:56:25	151
File	C:\Users\tatsu\Documents\AutoHotkey\testps.ps1 - ショートカット - コピー.lnk	testps.ps1 - ショートカット - コピー.lnk	2024-04-17 02:03:08	2024-08-29 13:56:25	1299
File	C:\Users\tatsu\Documents\AutoHotkey\testps.ps1_sk.lnk	testps.ps1_sk.lnk	2024-04-17 01:59:34	2024-08-29 13:56:25	1341
Folder	C:\Users\tatsu\Documents\clibor	clibor	2024-08-07 02:31:18	2024-08-06 19:18:02	-
Folder	C:\Users\tatsu\Documents\clibor\ch	ch	2025-05-16 14:28:52	2024-08-07 02:31:18	-
File	C:\Users\tatsu\Documents\clibor\ch\clb_data.dat	clb_data.dat	2025-05-16 14:28:52	2024-08-07 02:31:18	1374626
File	C:\Users\tatsu\Documents\clibor\ClbHook.dll	ClbHook.dll	2024-08-06 19:16:48	2024-08-06 19:18:02	82432
File	C:\Users\tatsu\Documents\clibor\Clibor.exe	Clibor.exe	2024-08-06 19:16:48	2024-08-06 19:18:02	4330496
File	C:\Users\tatsu\Documents\clibor\Clibor.xml	Clibor.xml	2024-08-06 19:18:06	2024-08-06 19:18:06	13488
Folder	C:\Users\tatsu\Documents\clibor\ct	ct	2024-08-06 19:18:10	2024-08-06 19:18:10	-
File	C:\Users\tatsu\Documents\clibor\ct\grp.dat	grp.dat	2024-08-06 19:18:10	2024-08-06 19:18:10	332
File	C:\Users\tatsu\Documents\clibor\excl.dat	excl.dat	2024-08-06 19:18:10	2024-08-06 19:18:10	112
File	C:\Users\tatsu\Documents\clibor\frmt.dat	frmt.dat	2024-08-06 19:18:10	2024-08-06 19:18:10	1440
File	C:\Users\tatsu\Documents\clibor\ReadMe.txt	ReadMe.txt	2024-08-06 19:16:48	2024-08-06 19:18:02	2253
File	C:\Users\tatsu\Documents\clibor\ww.dat	ww.dat	2024-08-06 19:18:10	2024-08-06 19:18:10	112
Folder	C:\Users\tatsu\Documents\for-share	for-share	2025-05-16 14:11:41	2024-09-04 17:16:14	-
Folder	C:\Users\tatsu\Documents\for-share\.git	.git	2025-05-16 12:06:00	2024-09-04 17:16:14	-
File	C:\Users\tatsu\Documents\for-share\.git\COMMIT_EDITMSG	COMMIT_EDITMSG	2025-05-16 12:01:28	2024-09-04 17:24:31	3
File	C:\Users\tatsu\Documents\for-share\.git\config	config	2024-09-04 17:16:48	2024-09-04 17:16:48	332
File	C:\Users\tatsu\Documents\for-share\.git\description	description	2024-09-04 17:16:14	2024-09-04 17:16:14	73
