法人の名称,数値の個数 - 法人の名称
合計 結果,228051
株式会社ニチイ学館,1844
株式会社　ニチイ学館,1394
ＳＯＭＰＯケア株式会社,1105
株式会社ツクイ,792
アースサポート株式会社,651
株式会社ＳＯＹＯＫＡＺＥ,526
株式会社ベネッセスタイルケア,413
株式会社ケア２１,363
アサヒサンクリーン株式会社,306
ALSOK介護株式会社,286
医療法人徳洲会,283
株式会社ケアリッツ・アンド・パートナーズ,279
株式会社ソラスト,266
社会福祉法人恩賜財団済生会,263
株式会社やさしい手,235
株式会社学研ココファン,233
株式会社アンビス,200
パナソニックエイジフリー株式会社,198
メディカル・ケア・サービス株式会社,187
HITOWAケアサービス株式会社,185
フランスベッド株式会社,185
ヒューマンライフケア株式会社,167
株式会社　ツクイ,165
ミモザ株式会社,153
株式会社ファーストナース,147
株式会社ビジュアルビジョン,143
株式会社フロンティア,136
セントケア千葉株式会社,135
エルケア株式会社,131
ケアパートナー株式会社,123
株式会社ヤマシタ,123
株式会社　川島コーポレーション,121
日本赤十字社,120
長野県厚生農業協同組合連合会,119
独立行政法人地域医療機能推進機構,118
社会福祉法人サン・ビジョン,116
株式会社ヴァティー,114
株式会社日本アメニティライフ協会,111
東京海上日動ベターライフサービス株式会社,109
社会福祉法人横浜市福祉サービス協会,106
社会福祉法人白寿会,106
株式会社トーカイ,105
エフビー介護サービス株式会社,101
医療法人社団　葵会,101
株式会社アズ・ライフケア,100
スターツケアサービス株式会社,99
医療生協さいたま生活協同組合,98
医療法人社団葵会,98
ソフィアメディ株式会社,95
株式会社木下の介護,95
社会福祉法人平成会,95
株式会社川島コーポレーション,93
医療法人　徳洲会,91
医療法人仁泉会,89
株式会社ヤックスケアサービス,89
セントケア神奈川株式会社,88
株式会社　ケア21,88
社会福祉法人秀峰会,87
東電パートナーズ株式会社,86
株式会社リビングプラットフォームケア,85
株式会社さわやか倶楽部,83
株式会社ニチイケアパレス,83
株式会社　日本エルダリーケアサービス,81
株式会社アーバンアーキテック,81
株式会社ビーナス,81
社会福祉法人グリーンコープ,81
社会福祉法人　白寿会,80
株式会社ケアサービス,79
株式会社チャーム・ケア・コーポレーション,79
株式会社創生事業団,78
麻生介護サービス株式会社,78
社会福祉法人敬愛会,77
ケアサポート株式会社,75
株式会社いっしん,75
サンキ・ウエルビィ株式会社,74
医療福祉生活協同組合おおさか,74
株式会社　やさしい手,74
株式会社Ｎ・フィールド,73
社会福祉法人ノテ福祉会,73
企業組合労協センター事業団,72
ケアサプライシステムズ株式会社,71
株式会社　ソラスト,71
社会福祉法人　聖隷福祉事業団,70
社会福祉法人福寿会,70
生活協同組合コープみらい,70
株式会社シダー,69
公益社団法人地域医療振興協会,69
社会福祉法人博愛会,69
セントケア九州株式会社,68
株式会社愛総合福祉,68
一般社団法人北海道総合在宅ケア事業団,66
株式会社サンガジャパン,65
社会福祉法人恩徳福祉会,65
セントケア宮城株式会社,64
医療法人社団愛友会,64
株式会社リエイ,64
社会福祉法人勤医協福祉会,64
社会福祉法人協同福祉会,63
医療法人杏林会,62
株式会社スタッフシュウエイ,62
株式会社ポラリス,62
ゴールドエイジ株式会社,61
ファミリー・ホスピス株式会社,61
医療法人財団明理会,61
医療法人社団協友会,61
株式会社元気な介護,61
社会福祉法人千寿会,61
社会福祉法人奉優会,61
株式会社グローバル総合研究所,60
株式会社ビオネスト,60
株式会社ライフサポート,60
社会福祉法人　秀峰会,60
社会福祉法人聖隷福祉事業団,60
社会福祉法人大阪府社会福祉事業団,60
株式会社ライフケア,59
株式会社レイクス２１,59
株式会社萌福祉サービス,59
社会福祉法人ジェイエー長野会,59
ウエルシア介護サービス株式会社,58
セントケア東京株式会社,58
株式会社ふるさと,58
株式会社桜十字,58
株式会社夢眠ホーム,58
社会福祉法人　健祥会,58
社会福祉法人慶生会,58
株式会社日本アメニティライフ協会,57
社会福祉法人洗心福祉会,57
株式会社サンウェルズ,56
社会福祉法人こうほうえん,56
社会福祉法人緑風会,56
アビリティーズ・ケアネット株式会社,55
株式会社アスモ介護サービス,55
社会福祉法人　三篠会,55
社会福祉法人敬老園,55
社会福祉法人やすらぎ福祉会,54
社会福祉法人長岡三古老人福祉会,54
社会福祉法人長岡福祉協会,54
社会福祉法人苗場福祉会,54
コンテック株式会社,53
株式会社こころ,53
株式会社シーユーシー・ホスピス,53
社会福祉法人慈恵会,53
株式会社　さわやか倶楽部,52
株式会社土屋,52
社会福祉法人　敬仁会,52
セントケア四国株式会社,51
株式会社エスケアメイト,51
社会福祉法人敬寿会,51
社会福祉法人三篠会,51
姫路医療生活協同組合,51
あなぶきメディカルケア株式会社,50
セントケアりまいん株式会社,50
ミアヘルサ株式会社,50
医療法人和光会,50
株式会社　学研ココファン,50
株式会社クローバー,50
株式会社大起エンゼルヘルプ,50
福祉クラブ生活協同組合,50
パナソニックエイジフリー株式会社,49
メディカル・ケア・プランニング株式会社,49
ラミコジャパン株式会社,49
株式会社日本アメニティライフ協会,49
メディカル・ケア・サービス東海株式会社,48
株式会社はあとふるあたご,48
社会福祉法人　緑風会,48
日本シニアライフ株式会社,48
福井県民生活協同組合,48
社会福祉法人弘道福祉会,47
社会福祉法人清風会,47
社会福祉法人天寿会,47
医療法人社団創生会,46
医療法人清和会,46
株式会社アース,46
株式会社スーパー・コート,46
株式会社ワールドステイ,46
株式会社輝,46
株式会社三英堂商事,46
社会福祉法人　平成会,46
社会福祉法人長寿会,46
社会福祉法人博愛福祉会,46
生活協同組合コープあいち,46
グリーンライフ東日本株式会社,45
セコム医療システム株式会社,45
株式会社　木下の介護,45
株式会社ケアネット徳洲会,45
社会福祉法人敬仁会,45
なごやかケアリンク株式会社,44
株式会社アクタガワ,44
株式会社アバンセライフサポート,44
株式会社セルヴィス,44
社会福祉法人新生会,44
医療法人博愛会,43
医療法人友愛会,43
株式会社アルプスビジネスクリエーション,43
株式会社まごころ,43
三菱電機ライフサービス株式会社,43
社会福祉法人　横浜市福祉サービス協会,43
社会福祉法人ＩＧＬ学園福祉会,43
社会福祉法人あすなろ会,43
グリーンライフ株式会社,42
医療法人愛広会,42
株式会社アズパートナーズ,42
株式会社ハート介護サービス,42
株式会社日本エルダリーケアサービス,42
社会福祉法人みやぎ会,42
社会福祉法人晋栄福祉会,42
社会福祉法人生活クラブ,42
南医療生活協同組合,42
医療法人敬愛会,41
医療法人社団　平成会,41
社会福祉法人　福寿会,41
社会福祉法人恩賜財団愛知県同胞援護会,41
社会福祉法人元気村,41
社会福祉法人慈光会,41
社会福祉法人大樹会,41
社会福祉法人明和会,41
有限会社ひまわり,41
プラウドライフ株式会社,40
医療法人社団洛和会,40
株式会社ＡＴ,40
株式会社ケアネット,40
株式会社ハートケア,40
株式会社ワイグッドケア,40
株式会社介護ＮＥＸＴ,40
社会福祉法人　博愛会,40
社会福祉法人友愛会,40
社会福祉法人福寿園,40
サンキ・ウエルビィ株式会社,39
ベストケア株式会社,39
医療法人社団福寿会,39
医療法人信愛会,39
医療法人博仁会,39
株式会社　創生事業団,39
株式会社ノアコンツェル,39
株式会社ハピネライフ一光,39
株式会社福祉の街,39
社会福祉法人　敬愛会,39
社会福祉法人　清和園,39
社会福祉法人はつき会,39
社会福祉法人愛誠会,39
社会福祉法人愛宕福祉会,39
社会福祉法人薫風会,39
社会福祉法人光風会,39
社会福祉法人創生会,39
グッドタイムリビング株式会社,38
医療法人社団寿光会,38
医療法人仁寿会,38
医療法人誠心会,38
株式会社　虹の街,38
株式会社はな,38
社会福祉法人　勤医協福祉会,38
社会福祉法人健祥会,38
新潟県厚生農業協同組合連合会,38
日本基準寝具株式会社,38
医療法人社団千春会,37
医療法人社団武蔵野会,37
医療法人松田会,37
医療法人和同会,37
株式会社めいとケア,37
社会福祉法人さくら会,37
社会福祉法人愛生福祉会,37
社会福祉法人九十九里ホーム,37
社会福祉法人恵愛会,37
社会福祉法人慈愛会,37
社会福祉法人青山里会,37
社会福祉法人篤豊会,37
社会福祉法人京都福祉サービス協会,37
セントケア東北株式会社,36
医療法人啓仁会,36
医療法人社団静寿会,36
介護ジャパン株式会社,36
株式会社あっぷる,36
株式会社ビジュアルビジョン,36
株式会社ユニマット　リタイアメント・コミュニティ,36
社会福祉法人　福寿園,36
社会福祉法人ことぶき会,36
社会福祉法人むべの里光栄,36
社会福祉法人愛心会,36
社会福祉法人渓仁会,36
社会福祉法人信和会,36
社会福祉法人和光会,36
太陽シルバーサービス株式会社,36
福岡県高齢者福祉生活協同組合,36
セントケア静岡株式会社,35
ニック株式会社,35
医療法人社団菫会,35
医療法人同仁会,35
医療法人平成会,35
一般財団法人脳神経疾患研究所,35
株式会社絆,35
株式会社福祉の里,35
社会福祉法人さくら福祉会,35
社会福祉法人さつき会,35
社会福祉法人すこやか福祉会,35
社会福祉法人愛和会,35
社会福祉法人香南会,35
社会福祉法人賛育会,35
社会福祉法人寿光会,35
法人の名称,35
シマダリビングパートナーズ株式会社,34
セントケア中部株式会社,34
株式会社T.S.I,34
株式会社クレアメディコ,34
株式会社ケアメディカル,34
株式会社フルライフ,34
株式会社ベストライフ東京,34
株式会社悠遊社,34
社会福祉法人ふるさと自然村,34
社会福祉法人清光会,34
社会福祉法人天竜厚生会,34
社会福祉法人同仁会,34
社会福祉法人平成福祉会,34
有限会社ほおずき,34
愛知県厚生農業協同組合連合会,33
医療法人清仁会,33
株式会社アイケア,33
株式会社イノベイションオブメディカルサービス,33
株式会社ニックス,33
株式会社ハートフルケア,33
株式会社メディケアー,33
株式会社やまねメディカル,33
丸光産業株式会社,33
公益財団法人宮城厚生協会,33
社会福祉法人　致遠会,33
社会福祉法人　奉優会,33
社会福祉法人愛光会,33
社会福祉法人恵泉会,33
社会福祉法人札幌市社会福祉協議会,33
社会福祉法人松風会,33
社会福祉法人陽光会,33
有限会社すずらん,33
医療法人若葉会,32
医療法人福寿会,32
株式会社グランユニライフケアサービス,32
株式会社ベストライフ東日本,32
株式会社ヤマウチ,32
株式会社リツワ,32
株式会社結,32
社会福祉法人あすか福祉会,32
社会福祉法人きらくえん,32
社会福祉法人すみれ会,32
社会福祉法人江戸川豊生会,32
社会福祉法人松涛会,32
社会福祉法人仁愛会,32
社会福祉法人清和園,32
社会福祉法人美郷会,32
社会福祉法人豊生会,32
アイビーメディカル株式会社,31
ポシブル医科学株式会社,31
株式会社ウェルオフ東部,31
株式会社エクセレントケアシステム,31
株式会社ケイ・ティ・サービス,31
株式会社コネクト,31
株式会社トッツ,31
株式会社ファインケア,31
株式会社楽天堂,31
株式会社創心會,31
株式会社両備ヘルシーケア,31
株式会社和,31
社会医療法人愛仁会,31
社会医療法人社団順心会,31
社会福祉法人　こうほうえん,31
社会福祉法人　愛心会,31
社会福祉法人聖風会,31
社会福祉法人博友会,31
メディカルケア株式会社,30
医療法人啓信会,30
医療法人厚生会,30
医療法人社団和恵会,30
医療法人信和会,30
医療法人青樹会,30
医療法人伯鳳会,30
株式会社ベストライフ神奈川,30
株式会社やさしい手甲府,30
株式会社ライフケア・ビジョン,30
社会医療法人社団正峰会,30
社会福祉法人　正和会,30
社会福祉法人ひまわり会,30
社会福祉法人若竹大寿会,30
社会福祉法人正吉福祉会,30
社会福祉法人静和会,30
社会福祉法人京都老人福祉協会,30
日建リース工業株式会社,30
ＳＯＵシニアケア株式会社,29
キャレオス株式会社,29
コスモスケア株式会社,29
さくらメディカル株式会社,29
ライクケア株式会社,29
医療法人丸山会,29
医療法人健仁会,29
医療法人社団親和会,29
株式会社　ヴァティー,29
株式会社　シダー,29
株式会社　三英堂商事,29
株式会社いろは,29
株式会社カクイックスウィング,29
株式会社サロンデイ,29
株式会社ひなた,29
株式会社ライフデザイン,29
社会福祉法人　創生会,29
社会福祉法人　長岡福祉協会,29
社会福祉法人恵和会,29
社会福祉法人慶明会,29
社会福祉法人敬友会,29
社会福祉法人健寿会,29
社会福祉法人紫水会,29
社会福祉法人春風会,29
社会福祉法人京都市社会福祉協議会,29
有限会社ほほえみ,29
医療法人　新生会,28
医療法人宏友会,28
医療法人財団百葉の会,28
医療法人社団　紀洋会,28
医療法人社団敬和会,28
医療法人社団友志会,28
医療法人仁悠会,28
医療法人清水会,28
医療法人緑風会,28
株式会社　nCS,28
株式会社こもれび,28
株式会社ダスキンユニオン,28
株式会社プランドゥ,28
株式会社フロンティアの介護,28
株式会社ロングライフ,28
社会福祉法人　静和会,28
社会福祉法人　博愛福祉会,28
社会福祉法人さわらび会,28
社会福祉法人よつば会,28
社会福祉法人幸清会,28
社会福祉法人射水万葉会,28
社会福祉法人相愛福祉会,28
社会福祉法人名古屋市社会福祉協議会,28
医療法人至誠会,27
医療法人社団健育会,27
医療法人社団長啓会,27
医療法人社団明芳会,27
株式会社　日本アメニティライフ協会,27
株式会社CLAN,27
株式会社アイシマ,27
株式会社ウェルオフ,27
株式会社エヴァ・ライフ,27
株式会社カスケード東京,27
株式会社サンメディカル,27
株式会社ベストライフ埼玉,27
株式会社みのり,27
株式会社日本ライフデザイン,27
株式会社明昭,27
公益社団法人　地域医療振興協会,27
社会福祉法人　光風会,27
社会福祉法人すみれ福祉会,27
社会福祉法人三養福祉会,27
社会福祉法人上越市社会福祉協議会,27
社会福祉法人星風会,27
社会福祉法人鶯園,27
日総ふれあいケアサービス株式会社,27
有限会社ベストライフ,27
福島さくら農業協同組合,27
セントケア西日本株式会社,26
医療法人医誠会,26
医療法人社団翠会,26
医療法人社団醫光会,26
医療法人明和会,26
遠州鉄道株式会社,26
株式会社　レオパレス21,26
株式会社えがお,26
株式会社エスポワール,26
株式会社カンケイ舎,26
株式会社ケアライフ青森,26
株式会社ファーストステージ,26
株式会社ヘルシーサービス,26
株式会社まごころ介護サービス,26
株式会社ライフ・テクノサービス,26
株式会社ラックコーポレーション,26
株式会社レオパレス２１,26
株式会社健康会,26
株式会社三笑堂,26
合同会社絆,26
社会医療法人ジャパンメディカルアライアンス,26
社会福祉法人　愛知県厚生事業団,26
社会福祉法人あけあい会,26
社会福祉法人愛寿会,26
社会福祉法人永寿会,26
社会福祉法人伸こう福祉会,26
社会福祉法人誠心会,26
社会福祉法人草加福祉会,26
社会福祉法人長野市社会福祉協議会,26
社会福祉法人報謝会,26
社会福祉法人洛和福祉会,26
社会福祉法人京都悠仁福祉会,26
有限会社ライフサポート,26
ヘルスケアリンク株式会社,25
メディカル・ケア・サービス関西株式会社,25
医療法人　博愛会,25
医療法人あかね会,25
医療法人コスモス,25
医療法人みずほ会,25
医療法人一秀会,25
医療法人栄寿会,25
医療法人回生会,25
医療法人健生会,25
医療法人健和会,25
医療法人光陽会,25
宇和島地区広域事務組合,25
株式会社ＳＫＹ,25
株式会社ケアギバー・ジャパン,25
株式会社シーヒューマン,25
株式会社セブンブレンチ,25
株式会社ベストライフ,25
株式会社ルネサンス,25
株式会社東日本福祉経営サービス,25
近鉄スマイルライフ株式会社,25
社会医療法人弘道会,25
社会福祉法人　愛寿会,25
社会福祉法人　愛生福祉会,25
社会福祉法人　渓仁会,25
社会福祉法人　若竹大寿会,25
社会福祉法人　寿泉会,25
社会福祉法人ファミリー,25
社会福祉法人みらい,25
社会福祉法人恩賜財団済生会支部大阪府済生会,25
社会福祉法人宮城福祉会,25
社会福祉法人共生会,25
社会福祉法人信愛会,25
社会福祉法人正和会,25
社会福祉法人天心会,25
社会福祉法人白十字会,25
社会福祉法人平成記念会,25
社会福祉法人平和会,25
上伊那医療生活協同組合,25
生活協同組合ひろしま,25
有限会社伊豆介護センター,25
ＤＳセルリア株式会社,24
アンダンテ株式会社,24
ケアゲート株式会社,24
みえ医療福祉生活協同組合,24
医療法人　厚生会,24
医療法人弘仁会,24
医療法人社団康心会,24
医療法人社団哺育会,24
株式会社　　ニチイ学館,24
株式会社　福祉の街,24
株式会社アクティブライフ,24
株式会社ウェルオフ西部,24
株式会社オアシス,24
株式会社すずらん,24
株式会社だんらん,24
株式会社ベストライフ西日本,24
株式会社ミストラルサービス,24
株式会社ユニマットリタイアメント・コミュニティ,24
株式会社愛誠会,24
株式会社河村福祉サービス,24
株式会社太陽,24
株式会社東北福祉サービス,24
公益財団法人淀川勤労者厚生協会,24
社会医療法人孝仁会,24
社会福祉法人　グリーンコープ,24
社会福祉法人　なごや福祉施設協会,24
社会福祉法人　愛の会,24
社会福祉法人　紫水会,24
社会福祉法人　寿宝会,24
社会福祉法人　親愛会,24
社会福祉法人　清風会,24
