FolderorFile	filename	filepath	作�?日?�?更新日?�?	
Folder	Copy_History.ahk	C:\Users\tatsu\Documents\for-share\Copy_History.ahk	2023-01-01	2023-04-05
File	Copy_History_vf.ahk	C:\Users\tatsu\Documents\for-share\Copy_History_vf.ahk	2023-01-15	2023-04-06
Folder	Copy_History2.ahk	C:\Users\tatsu\Documents\for-share\Copy_History2.ahk	2023-02-10	2023-04-01
File	IMG_3140.png	C:\Users\tatsu\Documents\for-share\IMG_3140.png	2023-02-12	2023-04-01
Folder	main.ahk	C:\Users\tatsu\Documents\for-share\main.ahk	2023-03-05	2023-04-05
File	main.txt	C:\Users\tatsu\Documents\for-share\main.txt	2023-03-06	2023-04-05
Folder	Change_structure.py	C:\Users\tatsu\Documents\for-share\Change_structure.py	2023-03-15	2023-04-05
File	ClipboardHistory.txt	C:\Users\tatsu\Documents\for-share\ClipboardHistory.txt	2023-03-16	2023-04-06
Folder	common.py	C:\Users\tatsu\Documents\for-share\common.py	2023-04-01	2023-04-05
File	Copy_History copy 2.ahk	C:\Users\tatsu\Documents\for-share\Copy_History copy 2.ahk	2023-04-02	2023-04-06
File	Copy_History copy 3.ahk	C:\Users\tatsu\Documents\for-share\Copy_History copy 3.ahk	2023-04-02	2023-04-06
File	Copy_History copy 3.ahk	C:\Users\tatsu\Documents\for-share\Copy_History copy 3.ahk	2023-04-06	
